region_code,region,country_name,iso_a3,country_code_old,min_date,max_date,min_latitude,max_latitude,min_longitude,max_longitude,space_based
re_arabian_peninsula,Arabian peninsula,Kuwait,KWT,kw,-800.0,1900.0,,,,,0
re_arabian_peninsula,Arabian peninsula,Oman,OMN,om,-800.0,1900.0,,,,,0
re_arabian_peninsula,Arabian peninsula,United Arab Emirates,ARE,ae,-800.0,1900.0,,,,,0
re_arabian_peninsula,Arabian peninsula,Saudi Arabia,SAU,sa,-800.0,1900.0,,,,,0
re_arabian_peninsula,Arabian peninsula,Yemen,YEM,ye,-800,1900.0,,,,,0
re_arabic_world,Arabic world,Tunisia,TUN,tn,-800,1900.0,,,,,0
re_arabic_world,Arabic world,Algeria,DZA,dz,-800,1900.0,,,,,0
re_arabic_world,Arabic world,Morocco,MAR,ma,-800,1900.0,,,,,0
re_arabic_world,Arabic world,Libya,LBY,ly,-800,1900.1,,,,,0
re_arabic_world,Arabic world,Egypt,EGY,eg,-800,1900.0,,,,,0
re_arabic_world,Arabic world,Palestine,PSE,ps,-800,1900.0,,,,,0
re_arabic_world,Arabic world,Israel,ISR,il,-800,1100.0,,,,,0
re_arabic_world,Arabic world,Israel,ISR,il,1300.0,1900.0,,,,,0
re_arabic_world,Arabic world,Lebanon,LBN,lb,-800,1100.0,,,,,0
re_arabic_world,Arabic world,Lebanon,LBN,lb,1300.0,1900.0,,,,,0
re_arabic_world,Arabic world,Syria,SYR,sy,-800,1900.0,,,,,0
re_arabic_world,Arabic world,Jordan,JOR,jo,-800,1900.0,,,,,0
re_arabic_world,Arabic world,Iraq,IRQ,iq,-800,1900.0,,,,,0
re_arabic_world,Arabic world,Kuwait,KWT,kw,-800,1900.0,,,,,0
re_arabic_world,Arabic world,Oman,OMN,om,-800,1900.0,,,,,0
re_arabic_world,Arabic world,United Arab Emirates,ARE,ae,-800,1900.0,,,,,0
re_arabic_world,Arabic world,Saudi Arabia,SAU,sa,-800,1900.0,,,,,0
re_arabic_world,Arabic world,Yemen,YEM,ye,-800,1900.0,,,,,0
re_austria,Austria,Austria,AUT,at,-800.0,1900.0,,,,,0
re_balkans,Balkans,North Macedonia,MKD,,-800.0,1900.0,,,,,0
re_balkans,Balkans,Kosovo,-99,,-800.0,1900.0,,,,,0
re_balkans,Balkans,Bulgaria,BGR,bg,-800.0,1900.0,,,,,0
re_balkans,Balkans,Greece,GRC,gr,-800.0,1900.0,,,,,0
re_balkans,Balkans,Albania,ALB,al,-800.0,1900.0,,,,,0
re_balkans,Balkans,Montenegro,MNE,me,-800.0,1900.0,,,,,0
re_balkans,Balkans,Serbia,SRB,rs,-800.0,1900.0,,,,,0
re_balkans,Balkans,Bosnia and Herz.,BIH,ba,-800.0,1900.0,,,,,0
re_balkans,Balkans,Croatia,HRV,hr,-800.0,1900.0,,,,,0
re_balkans,Balkans,Moldova,MDA,,-800.0,1900.0,,,,,0
re_belgium,Belgium,Belgium,BEL,be,-800.0,1900.0,,,,,0
re_british_islands,British Islands,Ireland,IRL,ie,500.0,1900.0,,,,,0
re_british_islands,British Islands,United Kingdom,GBR,gb,500.0,1900.0,,,,,0
re_central_europe,Central Europe,Latvia,LVA,lv,500.0,1900,,,,,0
re_central_europe,Central Europe,Estonia,EST,ee,500.0,1900,,,,,0
re_central_europe,Central Europe,Slovakia,SVK,sk,500.0,1900,,,,,0
re_central_europe,Central Europe,Lithuania,LTU,lt,500.0,1900,,,,,0
re_central_europe,Central Europe,Czechia,CZE,cz,500.0,1900,,,,,0
re_central_europe,Central Europe,Poland,POL,pl,500.0,1900,,,,,0
re_central_europe,Central Europe,Hungary,HUN,hu,500.0,1900,,,,,0
re_chinese_world,Chinese world,Mongolia,MNG,,-800.0,1900.0,,,,,0
re_chinese_world,Chinese world,Taiwan,TWN,tw,-800.0,1900.0,,,,,0
re_chinese_world,Chinese world,China,CHN,cn,-800.0,1900.0,,,,,0
re_denmark,Denmark,Denmark,DNK,dk,-800.0,1900.0,,,,,0
re_eastern_europe,Eastern Europe,Kosovo,-99,,-800.0,1900.0,,,,,0
re_eastern_europe,Eastern Europe,Romania,ROU,ro,-800.0,1900.0,,,,,0
re_eastern_europe,Eastern Europe,Bulgaria,BGR,bg,-800.0,1900.0,,,,,0
re_eastern_europe,Eastern Europe,Albania,ALB,al,-800.0,1900.0,,,,,0
re_eastern_europe,Eastern Europe,Montenegro,MNE,me,-800.0,1900.0,,,,,0
re_eastern_europe,Eastern Europe,Serbia,SRB,rs,-800.0,1900.0,,,,,0
re_eastern_europe,Eastern Europe,Bosnia and Herz.,BIH,ba,-800.0,1900.0,,,,,0
re_eastern_europe,Eastern Europe,Slovenia,SVN,si,-800.0,1900.0,,,,,0
re_eastern_europe,Eastern Europe,Croatia,HRV,hr,-800.0,1900.0,,,,,0
re_eastern_europe,Eastern Europe,Greece,GRC,gr,-800.0,1900.0,,,,,0
re_eastern_europe,Eastern Europe,Cyprus,CYP,cy,-800.0,1900.0,,,,,0
re_eastern_europe,Eastern Europe,Belarus,BLR,by,-800.0,1900.0,,,,,0
re_eastern_europe,Eastern Europe,Russia,RUS,ru,-800.0,1900.0,,,,,0
re_eastern_europe,Eastern Europe,Ukraine,UKR,ua,-800.0,1900.0,,,,,0
re_eastern_europe,Eastern Europe,Latvia,LVA,lv,-800.0,1900.0,,,,,0
re_eastern_europe,Eastern Europe,Estonia,EST,ee,-800.0,1900.0,,,,,0
re_eastern_europe,Eastern Europe,Slovakia,SVK,sk,-800.0,1900.0,,,,,0
re_eastern_europe,Eastern Europe,Lithuania,LTU,lt,-800.0,1900.0,,,,,0
re_eastern_europe,Eastern Europe,Czechia,CZE,cz,-800.0,1900.0,,,,,0
re_eastern_europe,Eastern Europe,Poland,POL,pl,-800.0,1900.0,,,,,0
re_eastern_europe,Eastern Europe,Hungary,HUN,hu,-800.0,1900.0,,,,,0
re_eastern_europe,Eastern Europe,North Macedonia,MKD,,-800.0,1900.0,,,,,0
re_eastern_europe,Eastern Europe,Moldova,MDA,,-800.0,1900.0,,,,,0
re_finland,Finland,Finland,FIN,fi,-800.0,1900.0,,,,,0
